feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC
Hist1h3d,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2414,0.3119
Hist1h3e,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5,0.585
Hist1h3f,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
Hist1h3g,Group,0.3714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.2,-2.3219
Hist1h3i,Group,0.5714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8333,-0.263
Hist1h4a,Group,0.0286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,3.5,1.8074
Hist1h4b,Group,0.2571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,5,2.3219
Hist1h4c,Group,0.6286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.3333,1.2224
Hist1h4d,Group,0.7429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3333,0.415
Hist1h4h,Group,0.3714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7368,-0.4406
Hist1h4i,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.21,0.275
Hist1h4j,Group,0.7143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.5,-1
Hist1h4k,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2,0.263
Hist1h4n,Group,0.2857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.4615,0.5475
Hist2h2ab,Group,0.4857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.3333,-1.585
Hist2h2ac,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
Hist2h2bb,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2917,0.3692
Hist2h2be,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8372,-0.2563
Hist2h3b,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.75,-0.415
Hist2h4,Group,0.0286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.5,1.3219
Hist3h2a,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1014,0.1394
Hist3h2ba,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.25,0.3219
Hist3h2bb-ps,Group,0.7429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6,-0.737
Hist4h4,Group,0.4,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.6667,0.737
Hivep1,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3792,0.4639
Hivep2,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3062,0.3854
Hivep3,Group,0.0286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.8032,0.8506
Hjurp,Group,0.5714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9426,-0.0853
Hk1,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.217,0.2834
Hk1os,Group,0.3714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3929,0.478
Hk2,Group,0.4,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2162,0.2823
Hk3,Group,0.0286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.001,-9.9658
Hkdc1,Group,0.2571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,6,2.585
Hlcs,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2153,0.2813
Hlf,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2694,0.3442
Hltf,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1296,0.1758
Hlx,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1342,0.1817
Hmbox1,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2814,0.3577
Hmbs,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1275,0.1731
Hmces,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0689,0.0962
Hmcn1,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5316,0.615
Hmg20a,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1963,0.2586
Hmg20b,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0933,0.1287
Hmga1,Group,0.9143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0576,0.0808
Hmga2,Group,0.0571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3004,0.379
Hmga2-ps1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0866,0.1199
Hmgb1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0776,0.1078
Hmgb1-rs17,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
Hmgb2,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1429,0.1927
Hmgb3,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.054,0.0759
Hmgcl,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0987,0.1358
Hmgcll1,Group,0.4286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3571,0.4406
Hmgcr,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2566,0.3296
Hmgcs1,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2865,0.3635
Hmgcs2,Group,0.2,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.4,-1.3219
Hmgn1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0915,0.1263
Hmgn2,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0661,0.0923
Hmgn3,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1656,0.2211
Hmgn5,Group,0.4286,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9917,-0.012
Hmgxb3,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1392,0.188
Hmgxb4,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2463,0.3176
Hmha1,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.194,0.2558
Hmmr,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0257,0.0367
Hmox1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1064,0.1458
Hmox2,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0602,0.0844
Hmx2,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5306,0.6141
Hn1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0793,0.1101
Hn1l,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1855,0.2455
Hnf1a,Group,0.2857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,3,1.585
Hnf1b,Group,0.6571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.5714,0.6521
Hnmt,Group,0.1429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.7292,0.7901
Hnrnpa0,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1366,0.1848
Hnrnpa1,Group,0.8857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9814,-0.0271
Hnrnpa2b1,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1205,0.1641
Hnrnpa3,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0146,0.0209
Hnrnpab,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0781,0.1085
Hnrnpc,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1089,0.1491
Hnrnpd,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0679,0.0948
Hnrnpdl,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.031,0.044
Hnrnpf,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0628,0.0879
Hnrnph1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.118,0.161
Hnrnph2,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1683,0.2244
Hnrnph3,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0859,0.1188
Hnrnpk,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1117,0.1528
Hnrnpl,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0449,0.0634
Hnrnpll,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1654,0.2208
Hnrnpm,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1865,0.2467
Hnrnpr,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1446,0.1948
Hnrnpu,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1828,0.2423
Hnrnpul1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1838,0.2434
Hnrnpul2,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1663,0.2219
Hoga1,Group,0.0571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.34,0.4222
Homer1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1672,0.2231
Homer3,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1268,0.1723
Homez,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0097,0.0139
Hook1,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.6957,0.7618
Hook2,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.189,0.2497
Hook3,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1972,0.2596
Hopx,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1298,0.1761
Hormad2,Group,0.1714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.8125,0.858
Hotair,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0862,0.1193
Hotairm1,Group,0.8571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.034,0.0483
Hoxa1,Group,0.6857,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9754,-0.036
Hoxa10,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1324,0.1794
Hoxa11,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0515,0.0724
Hoxa11os,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0715,0.0996
Hoxa13,Group,0.8571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1617,0.2162
Hoxa2,Group,0.8571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1667,0.2224
Hoxa3,Group,0.9714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0912,0.1259
Hoxa4,Group,0.8286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2128,0.2783
Hoxa5,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0305,0.0434
Hoxa6,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0194,0.0277
Hoxa7,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1018,0.1398
Hoxa9,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.009,0.013
Hoxaas2,Group,0.9714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.07,0.0976
Hoxaas3,Group,0.6571,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7879,-0.344
Hoxb13,Group,0.7143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.3333,-1.585
Hoxb2,Group,0.7143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.5,1.3219
Hoxb3,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.746,0.8041
Hoxb4,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0706,0.0984
Hoxb5,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.875,-0.1926
Hoxb6,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
Hoxb7,Group,0.1429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.5,1.3219
Hoxb8,Group,0.7143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,3,1.585
Hoxb9,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
Hoxc10,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0879,0.1215
Hoxc11,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0156,0.0224
Hoxc12,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1831,0.2426
Hoxc13,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1284,0.1743
Hoxc4,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1219,0.166
Hoxc5,Group,0.9429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9962,-0.0055
Hoxc6,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0934,0.1288
Hoxc8,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0585,0.082
Hoxc9,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0213,0.0304
Hp,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0909,0.1256
Hp1bp3,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1155,0.1576
Hpca,Group,0.3714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,5,2.3219
Hpcal1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.139,0.1878
Hpd,Group,0.9143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3333,0.415
Hpdl,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.08,0.111
Hpgd,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2359,0.3056
Hpgds,Group,0.6571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
Hpn,Group,0.6571,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.6,-0.737
Hprt,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1531,0.2055
Hps1,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3066,0.3858
Hps3,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1458,0.1964
Hps4,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1766,0.2347
Hps5,Group,0.0286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2042,0.268
Hps6,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0869,0.1202
Hpse,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1507,0.2025
Hpx,Group,0.5429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1944,0.2563
Hr,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0906,0.1251
Hras,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0256,0.0364
Hrasls,Group,0.3143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.4444,-1.1699
Hrc,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0071,0.0102
Hrct1,Group,0.9714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0976,0.1343
Hrg,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
Hrh1,Group,0.2571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3542,0.4374
Hrh3,Group,0.9429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8788,-0.1864
Hrsp12,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2046,0.2686
Hs1bp3,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1331,0.1802
Hs2st1,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1943,0.2561
Hs3st1,Group,0.0571,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3769,0.4614
Hs3st3a1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2343,0.3036
Hs3st3b1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1653,0.2207
Hs3st5,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.1,1.0704
Hs6st1,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1798,0.2385
Hs6st2,Group,0.2,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.4,-1.3219
Hsbp1,Group,0.2857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0826,0.1144
Hsbp1l1,Group,0.7714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1,0
Hscb,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1527,0.205
Hsd11b1,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1909,0.252
Hsd11b2,Group,0.9714,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0833,0.1155
Hsd17b1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0465,0.0656
Hsd17b10,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0208,0.0296
Hsd17b11,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1938,0.2555
Hsd17b12,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1717,0.2286
Hsd17b13,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7907,-0.3388
Hsd17b14,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1959,0.2581
Hsd17b2,Group,0.7143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,3,1.585
Hsd17b4,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1248,0.1697
Hsd17b6,Group,1,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.5,-1
Hsd17b7,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2756,0.3512
Hsd3b2,Group,0.7143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.3333,-1.585
Hsd3b3,Group,0.8286,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.375,0.4594
Hsd3b4,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2,1
Hsd3b7,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1492,0.2006
Hsdl1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.118,0.1609
Hsdl2,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1699,0.2264
Hsf1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1049,0.1439
Hsf2,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1876,0.248
Hsf2bp,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0329,0.0467
Hsf4,Group,0.1429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1647,0.2199
Hsf5,Group,0.9143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8,-0.3219
Hsh2d,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,2.25,1.1699
Hsp90aa1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1562,0.2094
Hsp90ab1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1504,0.2022
Hsp90b1,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2626,0.3364
Hspa12a,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1487,0.1999
Hspa12b,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0715,0.0997
Hspa13,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2027,0.2662
Hspa14,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.12,0.1635
Hspa1a,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0985,0.1355
Hspa1b,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1514,0.2034
Hspa1l,Group,0.3143,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9945,-0.0079
Hspa2,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1606,0.2149
Hspa4,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1633,0.2182
Hspa4l,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1202,0.1637
Hspa5,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.281,0.3573
Hspa8,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0951,0.131
Hspa9,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1158,0.158
Hspb1,Group,0.4857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1428,0.1925
Hspb11,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1803,0.2391
Hspb2,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.8907,-0.167
Hspb3,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9165,-0.1258
Hspb6,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0538,0.0756
Hspb7,Group,0.3429,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.9321,-0.1015
Hspb8,Group,0.3429,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0674,0.0941
Hspb9,Group,0.1714,1,T4400+LIPUS,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,0.7857,-0.3479
Hspbap1,Group,0.8857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.076,0.1057
Hspbp1,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0814,0.1128
Hspd1,Group,0.6857,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0919,0.1269
Hspe1,Group,1,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.0518,0.0729
Hspg2,Group,0.2,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.3386,0.4208
Hsph1,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.1933,0.255
Htatip2,Group,0.1143,1,T4400,Wilcoxon rank sum exact test,T4400 vs T4400+LIPUS,1.2599,0.3333
